Date,Open,High,Low,Close,Volume
01-04-2015,40.6,40.76,40.31,40.72,36865322
02-04-2015,40.66,40.74,40.12,40.29,37487476
06-04-2015,40.34,41.78,40.18,41.55,39223692
07-04-2015,41.61,41.91,41.31,41.53,28809375
08-04-2015,41.48,41.69,41.04,41.42,24753438
09-04-2015,41.25,41.62,41.25,41.48,25723861
10-04-2015,41.63,41.95,41.41,41.72,28022002
13-04-2015,41.4,42.06,41.39,41.76,30276692
14-04-2015,41.8,42.03,41.39,41.65,24244382
15-04-2015,41.76,42.46,41.68,42.26,27343581
16-04-2015,41.95,42.34,41.82,42.16,22509652
17-04-2015,41.67,41.74,41.16,41.62,42387608
20-04-2015,41.73,43.17,41.68,42.91,46057733
21-04-2015,43,43.15,42.53,42.64,26013844
22-04-2015,42.67,43.13,42.55,42.99,25064273
23-04-2015,42.85,43.61,42.8,43.34,46309530
24-04-2015,45.66,48.14,45.65,47.87,130933665
27-04-2015,47.23,48.13,47.22,48.03,59248172
28-04-2015,47.78,49.21,47.7,49.16,60730778
29-04-2015,48.72,49.31,48.5,49.06,47804562
30-04-2015,48.7,49.54,48.6,48.64,64725457
01-05-2015,48.58,48.88,48.4,48.66,38937336
04-05-2015,48.37,48.87,48.18,48.24,34039485
05-05-2015,47.82,48.16,47.31,47.6,50369191
06-05-2015,47.57,47.77,46.02,46.28,52433020
07-05-2015,46.27,47.09,46.16,46.7,32971654
08-05-2015,47.55,47.98,47.52,47.75,35364911
11-05-2015,47.55,47.91,47.37,47.37,24609416
12-05-2015,46.85,47.68,46.42,47.35,29928264
13-05-2015,48.19,48.32,47.57,47.63,34184613
14-05-2015,48.03,48.82,48.03,48.72,32980892
15-05-2015,48.87,48.91,48.05,48.3,28642694
18-05-2015,47.98,48.22,47.61,48.01,24136502
19-05-2015,47.62,47.81,47.18,47.58,28574813
20-05-2015,47.39,47.93,47.27,47.58,25047919
21-05-2015,47.28,47.6,47.01,47.42,22410698
22-05-2015,47.3,47.35,46.82,46.9,25720583
26-05-2015,46.83,46.88,46.19,46.59,29581860
27-05-2015,46.82,47.77,46.62,47.61,27335639
28-05-2015,47.5,48.02,47.39,47.45,19283666
29-05-2015,47.43,47.57,46.59,46.86,36519594
01-06-2015,47.06,47.77,46.62,47.23,28837332
02-06-2015,46.95,47.35,46.62,46.92,21498326
03-06-2015,47.37,47.74,46.82,46.85,28002154
04-06-2015,46.79,47.16,46.2,46.36,27745512
05-06-2015,46.31,46.52,45.84,46.14,25438086
08-06-2015,46.3,46.43,45.67,45.73,22121634
09-06-2015,45.76,45.94,45.46,45.65,24406057
10-06-2015,45.79,46.83,45.69,46.61,28417405
11-06-2015,46.66,46.92,46.13,46.44,27347758
12-06-2015,46.2,46.47,45.9,45.97,23930972
15-06-2015,45.45,45.65,45.02,45.48,33254517
16-06-2015,45.35,46.24,45.3,45.83,27070306
17-06-2015,45.73,46.07,45.36,45.97,28704061
18-06-2015,46.22,46.8,46.17,46.72,32658343
19-06-2015,46.79,46.83,45.99,46.1,63837036
22-06-2015,46.33,46.72,46.16,46.23,20318055
23-06-2015,46.13,46.28,45.62,45.91,25896473
24-06-2015,45.68,46.25,45.55,45.64,34890901
25-06-2015,46.03,46.06,45.5,45.65,20615995
26-06-2015,45.65,46.28,45.03,45.26,49835287
29-06-2015,45.04,45.23,44.36,44.37,34081746
30-06-2015,44.71,44.72,43.94,44.15,35945384
01-07-2015,44.49,45.23,44.1,44.45,28343907
02-07-2015,44.48,44.75,44.06,44.4,21752013
06-07-2015,43.96,44.48,43.95,44.39,23033961
07-07-2015,44.34,44.49,43.32,44.3,36435827
08-07-2015,44.44,44.9,44.03,44.24,39785901
09-07-2015,44.75,45.22,44.5,44.52,32424672
10-07-2015,45.01,45.14,44.57,44.61,25465757
13-07-2015,44.98,45.62,44.95,45.54,28178329
14-07-2015,45.45,45.96,45.31,45.62,22880260
15-07-2015,45.68,45.89,45.43,45.76,26629615
16-07-2015,46.01,46.69,45.97,46.66,26271673
17-07-2015,46.55,46.78,46.26,46.62,29467107
20-07-2015,46.65,47.13,46.44,46.92,30631905
21-07-2015,46.78,47.33,46.48,47.28,42781899
22-07-2015,45.44,46.93,45.2,45.54,59152427
23-07-2015,45.27,46.23,45.1,46.11,33934010
24-07-2015,45.91,46.32,45.8,45.94,32333244
27-07-2015,45.94,46.01,45.25,45.35,39701420
28-07-2015,45.58,45.64,44.79,45.34,34328948
29-07-2015,45.4,46.78,45.26,46.29,40945864
30-07-2015,46.26,47.4,45.93,46.88,39777883
31-07-2015,47.29,47.37,46.5,46.7,31201480
03-08-2015,46.98,47,46.45,46.81,24125886
04-08-2015,46.75,47.71,46.68,47.54,33403916
05-08-2015,47.98,48.41,47.54,47.58,26959655
06-08-2015,47.71,47.77,46.33,46.62,27368000
07-08-2015,46.39,46.78,46.26,46.74,19163038
10-08-2015,46.95,47.49,46.84,47.33,23079870
11-08-2015,46.82,46.94,45.9,46.41,29237402
12-08-2015,46.19,46.9,45.71,46.74,30198532
13-08-2015,47.06,47.1,46.49,46.73,22627241
